state,pop,soda,coke,other,maxpct,maxcat
HI,0.04,0.84,0.05,0.06,0.84,soda
AK,0.32,0.55,0.05,0.09,0.55,soda
FL,0.04,0.51,0.42,0.04,0.51,soda
NH,0.01,0.82,0.02,0.15,0.82,soda
MI-,0.61,0.37,0.01,0.01,0.61,pop
SP-,0.61,0.37,0.01,0.01,0.61,pop
VT,0.02,0.93,0.01,0.04,0.93,soda
ME,0.03,0.91,0.01,0.05,0.91,soda
RI,0.01,0.92,0.02,0.04,0.92,soda
NY,0.30,0.66,0.02,0.02,0.66,soda
PA,0.53,0.44,0.01,0.02,0.53,pop
NJ,0.01,0.93,0.03,0.02,0.93,soda
DE,0.03,0.88,0.06,0.03,0.88,soda
MD,0.03,0.81,0.12,0.04,0.81,soda
VA,0.08,0.63,0.21,0.09,0.63,soda
WV,0.65,0.20,0.11,0.04,0.65,pop
OH,0.83,0.13,0.02,0.02,0.83,pop
IN,0.59,0.14,0.23,0.04,0.59,pop
IL,0.66,0.28,0.04,0.02,0.66,pop
CT,0.02,0.93,0.02,0.03,0.93,soda
WI,0.27,0.68,0.01,0.04,0.68,soda
NC,0.04,0.41,0.36,0.19,0.41,soda
MA,0.01,0.71,0.03,0.24,0.71,soda
TN,0.04,0.15,0.74,0.07,0.74,coke
AR,0.07,0.15,0.74,0.04,0.74,coke
MO,0.20,0.71,0.06,0.03,0.71,soda
GA,0.02,0.16,0.75,0.07,0.75,coke
SC,0.03,0.29,0.58,0.11,0.58,coke
KY,0.27,0.13,0.53,0.08,0.53,coke
AL,0.01,0.11,0.80,0.07,0.80,coke
LA,0.02,0.08,0.74,0.16,0.74,coke
MS,0.04,0.08,0.82,0.06,0.82,coke
IA,0.82,0.15,0.01,0.02,0.82,pop
MN,0.84,0.13,0.01,0.02,0.84,pop
OK,0.41,0.16,0.39,0.04,0.41,pop
TX,0.02,0.20,0.74,0.04,0.74,coke
NM,0.07,0.34,0.54,0.06,0.54,coke
KS,0.67,0.19,0.08,0.06,0.67,pop
NE,0.78,0.17,0.02,0.03,0.78,pop
SD,0.78,0.18,0.02,0.02,0.78,pop
ND,0.80,0.17,0.01,0.02,0.80,pop
WY,0.48,0.14,0.03,0.36,0.48,pop
MT,0.73,0.19,0.02,0.06,0.73,pop
CO,0.57,0.33,0.07,0.04,0.57,pop
ID,0.61,0.26,0.04,0.09,0.61,pop
UT,0.43,0.43,0.08,0.06,0.43,pop
AZ,0.15,0.68,0.12,0.05,0.68,soda
NV,0.11,0.72,0.12,0.05,0.72,soda
OR,0.61,0.32,0.03,0.04,0.61,pop
WA,0.69,0.26,0.02,0.03,0.69,pop
CA,0.04,0.76,0.12,0.08,0.76,soda
