"marketer_name","20121217","20121218","20121219","20121220","20121221","20121222","20121223","20121224","20121225","20121226","20121227","20121228","20121229","20121230","20121231","20130101","20130102","20130103","20130104","20130105","20130106","20130107","20130108","20130109","20130110","20130111","20130112","20130113","20130114"
"1-800-Contacts",,,,,,,,,,,,,,,,,,,4.58059441,6.93622364,5.65570589,4.78640218,5.07783382,4.86997602,4.6149078,4.81753694,4.46470926,4.4677779,4.34570767
"Adobe",1.5165465,1.56592067,1.5803749,1.65453766,1.72721867,1.7746128,1.92914322,2.07923199,2.20421124,2.35595037,2.44099086,2.5605838,2.59878947,2.66166063,2.51999915,2.45867839,2.47180309,2.33487792,2.39863253,2.47523986,2.51117939,2.56578949,2.91813685,3.15551679,3.25053713,3.4264347,3.57882751,3.61129312,3.57665933
"Advance America",3.62631,3.58007062,3.92539795,3.79495503,3.84148004,3.88963392,3.98708025,4.13633634,4.28834175,4.25681174,4.34306967,4.88699088,4.76933358,4.91464729,4.81937898,5.18881894,5.20344016,5.34761255,5.36038719,5.42697938,5.35442758,5.40591763,4.9528843,4.8570218,4.67597243,4.90070254,4.87677136,4.95318036,5.07762003
"Allstate Insurance (Starcom)",,,,,,,,,,,,,,,,,,,,2.06449335,1.54818739,1.44170155,1.52553406,1.63728946,1.7290822,1.89756873,1.90766614,1.93734964,1.87092129
"Ally Bank US",1.86621401,1.87454038,1.95354068,2.23692379,2.24726316,2.31223292,2.15525444,2.28559319,2.45020758,2.58529558,2.45167264,2.44246588,2.48689337,2.52624457,2.67809505,2.67761268,2.71643451,2.77681237,2.59980418,2.83841804,2.59566073,2.61495013,2.64460192,2.58256971,2.5631971,2.55037682,2.22516428,2.2666244,2.26688334
"American Greetings (Accuen)",3.84620924,3.74090986,3.9058637,3.86347197,4.06669946,4.17081777,4.11620968,4.22753095,4.25823377,4.44475674,4.48852581,4.47083673,4.57580949,4.69000641,5.20520493,5.29332884,5.91311475,5.97430922,5.8282174,6.96193933,6.92241616,6.77242287,5.76831888,5.4895744,4.17323069,3.55788576,5.43591533,5.58282451,7.31865148
"Ashley Furniture",,,,,,,,,,,,3.14750348,3.29689099,2.90322761,3.00057548,3.77212485,3.79186935,3.77258783,3.77242437,3.86529731,3.96695608,3.98240205,3.5777722,3.5777722,3.62813526,3.61382603,3.50901948,3.48455549,3.48543005
"AT&T Wired",1.10359619,1.10686569,1.11043383,1.10460459,1.08536485,1.05791438,1.08091878,1.08989576,1.10479807,1.10838595,1.14055876,1.17334601,1.20039427,1.2393696,1.23488372,1.24470696,1.30084481,1.39077666,1.42719978,1.46970704,1.46902471,1.5261631,1.48354977,1.4964823,1.50421009,1.5022875,1.48731517,1.48634163,1.47031236
"AT&T Wireless",1.33898941,1.37059516,1.40232873,1.40375722,1.32581809,1.22574776,1.29171139,1.35162202,1.45018561,1.49676505,1.541793,1.59733584,1.62039973,1.62490318,1.59225366,1.60150323,1.61584592,1.64332404,1.64099412,1.62742835,1.59067763,1.55973586,1.55055338,1.543674,1.55704005,1.55036553,1.53824355,1.50448026,1.5027977
"Audible.com",1.63739998,1.6395616,1.66228667,1.64619819,1.69089325,1.71495103,1.74274075,1.87559289,2.08784362,2.26647809,2.8552253,3.47298671,3.69987607,3.50091184,3.34405158,3.17668823,3.2024869,3.03931011,2.9041642,2.91867104,2.96950867,2.9042298,2.82385715,,,,,,
"AutoZone",3.01930552,2.93557877,2.99926506,3.204693,3.1487031,3.11043509,3.2198907,3.17339993,3.7264237,4.15567919,4.258306,3.81924376,4.0508824,4.38987702,4.26614152,,,,,,,,,,,,,,
"Best Western",2.92027871,2.76645778,2.66943537,2.68357351,2.6784571,2.93765588,3.0860451,3.26421704,3.2400211,3.21947,3.36082606,3.40130037,3.36116364,3.39744606,3.50042185,3.57945297,3.27495763,3.42250385,3.35802743,3.37197631,3.32758181,3.40382443,3.44023713,3.43438827,3.30921526,3.22704079,3.26604507,3.15491717,3.22884377
"Bose",1.87983809,1.92688924,1.92519106,1.90477097,1.89718333,2.02458523,1.98682226,2.10902435,2.19208657,2.24273623,2.40875189,2.35799341,2.57355719,2.6975292,2.67200033,2.70457009,2.65398193,2.5438283,2.46032881,2.43952351,2.54361844,2.57070978,2.60453396,2.5272728,2.55405088,2.65497935,2.59629568,2.66280429,2.57884865
"Bowflex",2.82798843,3.09282283,3.32005583,3.12503759,3.10110414,3.189681,3.08928997,3.29047752,3.38491059,3.25276056,3.20659796,3.2370469,3.23800666,3.10083192,2.96439226,2.85117868,2.96633866,2.92639965,3.06383866,2.86388438,2.8138553,2.87720444,2.86364204,2.98190575,2.84426241,2.7708779,2.76023309,2.68070808,2.65842669
"British Airways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62606266
"Calvin Klein",6.10350675,6.68638774,6.83156489,7.49931382,7.89694899,8.54647537,9.07137313,9.48840487,8.85519368,8.7061456,8.85071982,8.58235564,8.39800681,8.80514308,7.06922254,7.17872083,6.86459094,7.14069848,7.21225808,6.97466082,7.03517383,6.70452769,7.11760082,,,,,,
"Cancer Treatment Center of America (Euro RSCG Edge)",1.36065277,1.3993436,1.45245297,1.24425361,1.36093628,1.41169839,1.55857065,1.58659936,1.9562071,1.84896911,2.112949,2.45194037,2.80039775,2.86991028,3.00685227,2.5586141,2.58797552,2.52548215,2.46926697,2.49052812,2.57685022,2.69745335,2.63256543,2.63328578,2.6168025,2.59474004,2.56734847,2.3519669,2.16773056
"Canyon Resorts",,,,,20.19589304,20.17036821,20.46269653,17.11723489,17.3622291,15.22968327,15.51188609,15.86065845,16.33786207,14.45338093,14.74476285,13.43152907,15.50700647,18.61958776,18.75130534,18.91567533,19.21277822,19.027938,16.71691062,14.87362831,14.96866104,15.43471024,16.0766882,16.12936179,16.2436753
"Carbonite",0.2830638,0.34505149,0.30399826,0.30730885,0.29559689,0.31858279,0.29449925,0.29850271,0.30515273,0.30759696,0.30606837,0.29994975,0.33029712,0.35326613,0.35179861,0.38246126,0.37013354,0.34648243,0.32195024,0.31196681,0.31373367,0.29838296,0.29724408,0.28378788,0.27033064,0.28670451,0.27886076,0.30374953,0.29416308
"Celebrity Cruises",,,,,,,,,,,,,,,,,,,,,,,,,10.07732339,9.65961985,10.8282913,11.5632899,7.82308592
"Charlotte Russe",5.92705119,5.84796775,5.64277762,5.60496255,5.47393131,5.4521611,5.45665106,5.74925966,5.9002975,5.9093728,5.69272487,5.41004828,5.32673406,5.28596202,5.13527185,5.03899762,4.87761399,4.85913466,4.74658577,4.68138294,4.66150397,4.75865838,4.85622613,,,,,,
"Charter Communications",8.86707098,8.97256915,8.99260912,8.6685137,8.59517116,8.53304013,8.28766157,8.54855277,8.67458438,8.89345625,8.79008716,8.95781894,9.02268331,8.9731585,9.14848396,9.2288288,9.136142,8.99403906,8.9707609,8.9354507,8.72319583,8.73279351,,,,,,,
"Citibank",2.56824013,2.5725633,2.61854661,2.51594928,2.45363542,2.41139183,2.44060792,2.54465687,2.60166306,2.72582401,2.83578555,2.9195833,2.93683377,2.91355924,2.85879547,2.80494738,2.80828977,2.86314845,2.8238482,2.73009358,2.65235205,2.59369385,2.59961234,,,,,,
"Conns",2.30897967,2.28524842,2.30628461,2.27776651,2.29939881,2.35416842,2.41656182,2.45447712,2.44667546,2.53036845,2.58178617,,,,,,,,,,,,,,,,,,
"Consumer Cellular",1.02155668,0.97936168,0.99325344,0.98789065,0.96208535,0.98228994,0.98173227,1.00249374,0.96734179,0.91897797,1.09220233,1.19894525,1.21094328,1.48796299,1.79851735,1.73273692,1.63064258,1.3724592,1.23171556,0.98883531,0.88046475,0.80527059,0.80805215,0.87653732,0.91482763,1.01006563,1.05587347,1.19739316,1.3140168
"DirectTV (360i)",1.63432216,1.68554792,1.57005121,1.6274215,1.67405863,1.68621487,1.78551337,1.92009012,2.06957215,2.15874878,2.24199668,2.32383084,2.23864469,2.15938776,2.09165987,2.07188869,2.04636868,1.94116464,1.93359314,1.95731468,1.93499944,1.9518828,1.97006307,2.01508557,2.06367698,2.06453031,2.02372779,2.01609089,1.96526317
"Dominos",1.37042994,1.38116342,1.3261524,1.30333766,1.28023881,1.27253126,1.27469351,1.22753376,1.22000819,1.17913468,1.17184429,1.15631772,1.16281128,1.15393688,1.1242182,1.10938933,1.22990077,1.18454718,1.16042988,1.16376727,1.13138034,1.16887503,1.15798181,1.2103134,1.17613584,1.17477665,1.19137383,1.20226507,1.13342914
"First Marblehead",,,,,,,,,4.0868891,4.19083644,3.12080843,3.18649113,3.23528735,3.23153409,3.19121249,3.20144767,3.23234755,3.47793277,2.80730133,2.82834267,2.88104774,2.89235565,2.54110984,3.31872872,3.47950383,3.70574409,3.70301535,3.31469762,3.82930082
"General Electric Company (Accuen)",,,,,,,,3.22226604,4.64384297,2.92548724,2.35436878,1.74261694,1.74423633,1.82020012,2.1194619,2.15275564,2.15275564,2.15275564,2.15275564,2.15275564,2.15275564,2.15275564,2.15275564,,,,,,
"GNC",,,,,,,,,,,,,,,,,,,1.91161934,1.56623835,1.83521206,1.94794948,2.00856349,2.11023355,2.35614767,2.38317327,2.48920654,2.36118756,2.40691424
"Greyhound Lines",2.19676702,2.17005514,2.16496437,2.16404264,2.17411277,2.17103655,2.1381271,2.21443991,2.2058118,2.31976211,2.27395437,2.21896376,2.09417404,2.16953323,2.23135119,2.21797451,2.18434536,2.16963181,2.69123949,3.45955776,,,,,,,,,
"GrubHub",5.5368609,5.59764081,5.54049682,5.27841942,4.96245896,4.88021226,4.86366766,4.76805477,4.92557719,5.07741863,4.71416246,4.62833319,4.63904118,4.3311434,4.35361654,4.33911476,4.19682642,4.18300069,4.18640591,4.18550339,4.28723551,4.2183283,4.17963224,4.11565649,4.12493696,4.05578088,4.02197456,4.04136035,3.91227399
"H&R Block",,,,,,,,,,,,,,,,,,,,,,,,,,1.74627393,1.78504277,1.92223742,2.21635016
"Hasbro",11.97077123,11.81946934,11.55905973,13.14685888,15.2297795,14.74937645,14.53146247,15.62451264,16.98107637,18.26216075,17.2573551,16.54137947,18.53939665,,,,,,,,,,,,,,,,
"Hewlett Packard",3.39404166,2.77437183,2.47909773,2.2953994,2.22415665,2.03577011,2.00852922,2.01283087,2.21742544,2.16677054,2.05511702,1.884257,1.80134325,,,,,1.66973639,1.62987236,1.70279743,1.68939351,1.71877274,1.8526923,2.0139026,1.86642783,1.7123493,1.75592552,1.75397401,1.75790576
"Hickory Farms",4.29232745,4.15165202,4.15957093,4.03306414,4.03306414,3.99128852,3.89080767,3.97471281,4.15198179,4.40906432,,,,,,,,,,,,,,,,,,,
"Home Away (GSD&M Idea City)",2.23224943,2.92967148,2.85828488,3.3318348,3.39356278,3.22091833,3.17641818,3.1666133,2.95080935,2.79275416,2.42921556,2.15774742,1.86493392,1.41762254,1.21342531,1.37545569,1.1796366,1.15512937,1.07181772,1.06518423,1.18080476,,,,,,,,
"Huntington Bank",,,,,,,,,,,,,,,,,,1.03432151,0.879102,1.06063796,1.06271961,1.12651823,1.17860459,1.25958712,1.35353364,1.40373731,1.42555961,1.42540633,1.43594517
"Hyundai",2.49016408,2.43295969,2.71914071,2.34935687,2.32691186,2.47943206,2.60311136,2.64451226,2.65803577,2.66147055,2.7288005,2.76007445,2.79372664,2.80856926,2.81162816,2.89149209,2.89027916,2.90033813,2.96583174,2.95793336,2.97437197,2.97513326,2.98714013,2.91116824,2.88015282,2.83344891,2.78927687,2.75233389,2.76191275
"Jack Spade (TrueAction)",,,20.58104842,21.54087778,22.10165882,22.69274053,19.23826982,19.67186114,19.6508221,20.06682256,24.24035112,24.53930454,24.82754811,24.89079484,24.62799963,,,,,,,,,,,,,,
"JCrew",6.25357329,6.68054626,7.40400347,7.90317294,7.69426219,8.13202218,7.98141034,8.95169839,9.05746659,10.15676346,10.15848205,,,,,,,,9.62319625,9.66758097,9.75488961,9.70012186,10.42204945,10.43099663,11.2026372,8.97769365,9.22295282,11.65824759,27.54216681
"Kate Spade (True Action)",9.38162722,9.61231169,9.62365635,10.4321045,10.32585201,10.92620356,10.55926535,10.65474352,12.12322507,11.70285969,10.81733658,12.45799395,12.64144525,12.46167277,12.26567635,11.92755169,11.4253658,10.88596391,11.15983262,11.48189248,10.96435759,10.3817948,11.04634991,,,,,,
"Keds",6.24753361,6.50230783,7.23505263,7.45708963,6.93461712,6.50787592,5.68431667,4.5592017,4.71998258,5.14111633,5.96852794,1.50498922,1.50854806,1.97264892,2.26893166,2.29496486,2.45077273,2.38248494,2.57112147,2.48047275,2.69677542,2.61177616,3.21372542,4.18700713,4.35373534,,,,5.53049017
"Las Vegas Convention & Visitors Authority ",0.89676126,1.04357613,1.14266683,0.94057758,1.2293721,1.31038827,1.38493621,1.4392532,1.54307701,1.64601705,1.63213283,1.8542888,1.9047619,2.00155981,2.1191123,2.20024159,2.19825054,2.3736426,2.54533931,2.47710139,2.50051744,2.80791258,2.84644829,,,,,,
